uid,pmin_median,pmax_median,pmax_99_perc,pmax_max
POWERTO1 24 A24 PO-6 UN,1.0,832.0,832.0,832.0
WH_BLF 26 23 G1 UN,220.0,820.0,820.0,828.0
POWERTO1 345 Q345 PO-5 UN,1.0,820.0,820.0,820.0
COOPER 345 3 1 UN,1.0,820.0,820.0,820.0
DOWMTR 230 GECO DOWCHEMECO UN,0.0,800.0,800.0,800.0
BAKER 345 Q345 BS2 UN,1.0,800.0,800.0,800.0
MILLER1 24 5 5 UN,1.0,800.0,800.0,800.0
WATSON1 24 6 6 UN,1.0,800.0,800.0,800.0
GORGAS1 26 5 5 UN,1.0,800.0,800.0,800.0
KAMMER 345 Q345 ML2 UN,1.0,800.0,800.0,800.0
DANIEL1 18 1 1 UN,1.0,800.0,2000.0,2000.0
MILLER1 24 4 4 UN,1.0,800.0,800.0,800.0
DANIEL1 18 2 2 UN,1.0,800.0,2000.0,2000.0
ATKINS1 13.8 2 2 UN,9.0,800.0,800.0,800.0
MILLER1 24 3 3 UN,1.0,800.0,800.0,800.0
ATKINS1 13.8 3 3 UN,8.0,800.0,800.0,800.0
ATKINS1 13.8 4 4 UN,8.0,800.0,800.0,800.0
MILLER1 24 2 2 UN,1.0,800.0,800.0,800.0
CRIST1 20 7 7 UN,1.0,800.0,800.0,800.0
AMOS 765 Q765 AM1 UN,1.0,800.0,800.0,800.0
KAMMER 765 Q765 ML1 UN,1.0,800.0,800.0,800.0
ATKINS1 13.8 1 1 UN,62.0,800.0,800.0,800.0
AMOS 345 Q345 AM2 UN,1.0,800.0,800.0,800.0
CONESVIL 345 Q345 CV4 UN,58.0,780.0,780.0,780.0
LACYGNE 345 G1G1 LAC1 UN,-50.0,760.0,760.0,760.0
NINEMI 26 38 G4 UN,0.0,750.0,750.0,750.0
NINEMI 26 39 G5 UN,0.0,750.0,750.0,750.0
AUTAUGTS 500 3 U_HRS_2 UN,0.0,750.0,750.0,750.0
AUTAUGTS 500 4 U_HRS_1 UN,0.0,750.0,750.0,750.0
ANDRUS 24 5 G1 UN,215.0,740.0,740.0,740.0
JEFF 26 RJ2 12 UN,0.0,739.0,739.0,739.0
JEFF 26 RJ1 11 UN,0.0,739.0,739.0,739.0
JEFF 26 RJ0 10 UN,0.0,735.0,735.0,735.0
IATAN 345 5 IAT1 UN,-50.0,727.0,727.0,727.0
TH_HILL 23.4 103 THL3 UN,0.0,725.0,725.0,725.0
SHERCO 24 9006 SHERCO_2_UNIT UN,0.0,725.0,725.0,725.0
LOUISA_M 24 U1 LOUISA_1_UNIT UN,0.0,710.0,710.0,710.0
G_GENT1 345 AB 2 UN,1.0,705.0,705.0,705.0
CAYUGA 230 Q230 CAY1 UN,1.0,700.0,700.0,700.0
NEBRCTYG 345 9000 2 UN,1.0,700.0,700.0,700.0
CAYUGA 345 Q345 CAY2 UN,1.0,700.0,700.0,700.0
LACYGNE 345 G2G LAC2 UN,-50.0,700.0,700.0,700.0
COLUMBIA 345 Q34Z EQ_UN_Q345 UN,-30.0,700.0,700.0,700.0
SHERCO 24 9005 SHERCO_1_UNIT UN,0.0,697.0,697.0,697.0
MNTCELO 22 9006 MNTCEL_1_UNIT UN,0.0,690.0,690.0,690.0
CBLUFFS 26 U42 WSEC_4_UNIT UN,1.0,676.6,677.0,677.0
G_GENT1 230 16 1 UN,1.0,670.0,670.0,670.0
NEBRCTYG 345 9005 1 UN,1.0,670.0,670.0,670.0
GIBSON 345 Q345 UN1 UN,1.0,665.0,666.0,666.0
PIRKEY 23.4 55G 1 UN,0.0,661.3,661.3,661.3
GIBSON 345 Q345 UN3 UN,1.0,660.0,661.0,661.0
GIBSON 345 Q345 UN4 UN,1.0,660.0,661.0,661.0
924_TRIV 22.5 A22 GEN2_CC UN,0.0,650.0,650.0,650.0
ERG 345 Q345 ERG1 UN,0.0,650.0,650.0,650.0
ERG 345 Q345 ERG2 UN,0.0,650.0,650.0,650.0
LABADIE 20 27 4 UN,0.1,650.0,650.0,650.0
KINCAID 20 A20 KN-1 UN,0.0,650.0,650.0,650.0
KINCAID 20 A20 KN-2 UN,0.0,650.0,650.0,650.0
LABADIE 20 26 3 UN,0.1,650.0,650.0,650.0
LABADIE 345 17 3 UN,1.0,650.0,650.0,650.0
ERG 25 A25 ERG1 UN,0.0,650.0,650.0,650.0
ERG 25 A25 ERG2 UN,0.0,650.0,650.0,650.0
924_TRIV 22.5 A22 GEN1_CC UN,0.0,650.0,650.0,650.0
LABADIE 345 18 4 UN,1.0,650.0,650.0,650.0
GIBSON 345 Q345 UN2 UN,1.0,640.0,641.0,641.0
RUSH_IS 18 11 1 UN,55.0,640.0,640.0,640.0
RUSH_IS 18 12 2 UN,55.0,640.0,640.0,640.0
RUSH_IS 345 7 2 UN,55.0,640.0,640.0,640.0
RUSH_IS 345 8 1 UN,55.0,640.0,640.0,640.0
LABADIE 345 13 1 UN,1.0,635.0,635.0,635.0
LABADIE 20 24 1 UN,0.1,635.0,635.0,635.0
CBLUFFS 345 U42 WSEC_4_UNIT UN,0.0,631.6,631.6,631.6
LABADIE 345 14 2 UN,1.0,630.0,630.0,630.0
RODEMR1 24 581 G3 UN,0.0,630.0,630.0,630.0
LABADIE 20 25 2 UN,0.1,630.0,630.0,630.0
TIDD 345 Q345 CD3 UN,1.0,630.0,630.0,630.0
PLUM17 24 G1Z EQ_UN_G1 UN,-623.0,623.0,623.0,623.0
CONASAUG 500 1 MURRAY UN,0.0,620.0,620.0,620.0
RODEMR1 22 601 G1 UN,0.0,620.0,620.0,620.0
KILLEN 345 Q345 KI2 UN,1.0,620.0,620.0,620.0
NEWTON2 345 11 1 UN,0.0,620.0,622.0,622.0
NEWTON2 23.4 C 1 UN,0.0,620.0,620.0,620.0
929_JACK 22 A22 GEN1 UN,0.0,619.0,619.0,619.0
929_JACK 22 A22 GEN2 UN,0.0,618.0,618.0,618.0
PTBEACH 345 Q345 PT-BCH_PB1 UN,0.0,617.0,617.0,617.0
PTBEACH 345 Q345 PT-BCH_PB2 UN,0.0,617.0,617.0,617.0
PLEASAN1 345 Q345 PLST-P_P41 UN,0.1,610.0,610.0,610.0
BC2 500 3A G3 UN,0.1,610.0,610.0,610.0
BALDWIN 345 23 BALDWIN_U2 UN,0.0,610.0,610.0,610.0
PLEASAN1 345 Q345 PLST-P_P42 UN,0.1,610.0,610.0,610.0
COFFEEN 22 2210 2 UN,0.0,605.0,605.0,605.0
MUSKINGU 345 Q345 MR5 UN,1.0,605.0,605.0,605.0
BALDWIN 345 32 BALDWIN_U1 UN,0.0,605.0,605.0,605.0
STRA 345 808 HIGHBANKS_WIND UN,0.0,604.0,604.0,604.0
ZIMMER 345 Q345 ZM1 UN,1.0,604.0,604.0,604.0
EDDY_HVD 230 C693 D UN,-600.0,600.0,600.0,600.0
EDDY_HVD 230 1 D UN,-600.0,600.0,600.0,600.0
MEROM 345 Q345 UN2 UN,1.0,600.0,600.0,1200.0
929_JACK 345 A345 GEN2 UN,0.0,600.0,600.0,600.0
MEROM 345 Q345 UN1 UN,1.0,600.0,600.0,1500.0
NEW_MAD 22 102 NMD2 UN,0.0,600.0,600.0,600.0
EBEND 20 QQ20 EB2 UN,1.0,600.0,600.0,600.0
NEW_MAD 22 101 NMD1 UN,0.0,600.0,630.0,630.0
929_JACK 345 B345 GEN1 UN,0.0,600.0,600.0,600.0
TIDD 345 Q345 CD2 UN,1.0,595.0,595.0,595.0
TIDD 138 Q138 CD1 UN,1.0,595.0,595.0,595.0
PERVIL 500 G1 G1 UN,0.1,595.0,595.0,595.0
DBDS 345 2 SF_1 UN,-5.0,593.0,593.0,593.0
PR_ISLD 20 586 PR_ISL_1_UNIT UN,0.0,590.0,590.0,590.0
BC2 500 1A G1 UN,0.1,590.0,590.0,590.0
PR_ISLD 20 587 PR_ISL_2_UNIT UN,0.0,590.0,590.0,590.0
BC2 500 2A G2 UN,0.1,590.0,590.0,590.0
CBLUFFS 24 U3 WSEC_3_UNIT UN,0.0,587.9,588.0,588.0
